Name,Locus_tag,Fru_1,Glu_1,Gly_1,Glucon_1,Mal_1,Pyr_1,M.G_1,LBexp_1,SMMPr_1,S0_1,G.S_1
xpaC,BSU00250,11.5963909091,11.8490090909,11.4982727273,11.7454545455,11.7984636364,12.0757545455,12.2308363636,11.7289818182,12.7026181818,13.9710909091,11.6700909091
yaaN,BSU00260,11.3592909091,11.6813090909,11.1199727273,11.6353090909,11.7602,11.9133636364,12.0040727273,11.7025636364,12.0466090909,13.1668545455,11.3673545455
yaaO,BSU00270,11.1601,11.2788454545,10.0443727273,11.0668545455,10.8620727273,10.5465909091,10.9350454545,12.0871181818,11.1798818182,10.7061818182,11.2543727273
tmk,BSU00280,11.1495090909,11.2459090909,10.7061818182,11.1115454545,11.11,10.4492545455,11.0015454545,12.2714272727,11.0531454545,10.8511363636,11.2925545455
holB,BSU00310,12.8362090909,12.7639,12.3825090909,13.0279909091,12.6660181818,12.3866909091,12.9275272727,13.4081818182,12.7491818182,12.2789454545,12.9087636364
yabA,BSU00330,12.8682272727,12.9496454545,12.1104727273,13.1583363636,12.7067090909,12.8682272727,13.1249909091,13.1527,12.3300909091,12.2686545455,12.8755727273
yabB,BSU00340,10.9725272727,11.3582272727,9.9255,11.3143,11.2621090909,11.2289,11.2062636364,12.0963454545,10.7324,10.7616,10.9996636364
yazA,BSU00350,11.1739090909,11.7413272727,10.5156,11.6047727273,11.4489181818,11.0835,11.5010727273,12.4500272727,11.2115090909,11.0863272727,11.5842636364
yabC,BSU00360,11.1506818182,11.4147545455,10.5367545455,11.2426090909,11.0654181818,10.6178,11.0490181818,11.9842090909,10.9539818182,10.9799,11.2142
abrB,BSU00370,14.2751545455,13.3489818182,14.9109090909,14.0124272727,13.1381090909,12.6698818182,12.3888090909,14.1613272727,13.0984454545,15.1624272727,14.5202454545
metS,BSU00380,12.9244818182,12.9135181818,12.4711090909,12.7314181818,13.0616545455,12.0594,12.9872818182,13.5183363636,12.4874272727,12.3067363636,13.0045545455
yabD,BSU00390,11.0033636364,10.9799,11.4841363636,10.6946818182,11.3463363636,9.5750181818,10.8733363636,11.3257545455,10.2446454545,11.2543727273,11.1199727273
yabE,BSU00400,13.3523454545,13.4121545455,12.1893181818,14.0395090909,12.2080818182,15.0916545455,12.5193727273,12.0409818182,12.5583,11.3988272727,13.3343363636
rnmV,BSU00410,11.2798909091,11.1634636364,9.9296,10.8872909091,10.0611818182,10.9235454545,10.3581272727,11.9557818182,10.5848545455,10.0190727273,11.3213363636
ksgA,BSU00420,10.7872636364,10.3835909091,9.6216181818,10.4267727273,9.9581181818,9.8475818182,10.0875636364,11.5859363636,10.0623181818,9.8093272727,10.6931363636
yabG,BSU00430,7.5761181818,7.6761818182,7.5523818182,9.5357818182,7.4359727273,9.4368272727,8.2607727273,8.5044727273,8.7564363636,7.3672454546,7.5979727273
sspF,BSU00450,8.9868,9.7689454546,10.2897454545,9.8574727273,9.3011272727,10.2836727273,9.3510909091,10.1649090909,9.1976454546,10.9704272727,9.3453
ispE,BSU00460,12.4135909091,12.1906909091,11.0444,11.9699,11.5820363636,11.4921181818,11.8501363636,12.7392090909,11.6398363636,11.2426090909,12.3161454545
purR,BSU00470,12.8914909091,13.0944181818,11.9612363636,12.7864545455,12.2161090909,11.9759818182,12.3928181818,13.2474181818,12.6945,12.9087636364,12.9466909091
spoVG,BSU00490,14.9009727273,15.4377181818,15.1735272727,16.0317181818,15.7808363636,16.2788181818,15.4377181818,13.3443909091,16.2597909091,15.3332363636,14.9500090909
gcaD,BSU00500,14.1021636364,13.9280545455,12.0243090909,13.7295909091,13.3193545455,12.6350454545,13.7435909091,15.0723363636,13.5435181818,12.4303090909,14.1777545455
prs,BSU00510,13.9617272727,13.6564727273,13.0279909091,13.4962090909,13.8743909091,12.7010636364,13.9479545455,14.8565727273,13.3986818182,13.6997272727,14.0305363636
ctc,BSU00520,14.4186909091,13.7733454545,16.2873909091,13.7535,14.7685545455,13.8320363636,13.5064,14.7122,13.4410181818,14.7326,14.3052272727
spoVC,BSU00530,11.9645272727,12.0204090909,12.8836272727,11.8662636364,12.4303090909,11.9413636364,11.7910090909,12.4968636364,11.3411727273,12.6100272727,12.0100272727
subA,BSU00540,12.0594,12.0448,12.4783545455,12.0448,12.3209909091,12.9297909091,11.7925636364,12.5363181818,11.5426909091,12.5521181818,12.0550818182
mfd,BSU00550,11.3699454545,11.4210909091,11.8992727273,11.2198363636,11.7582090909,11.0361727273,11.3699454545,12.3888090909,11.0514454545,11.8515818182,11.5234818182
spoVT,BSU00560,11.1537818182,11.1833272727,11.7308181818,11.1298,11.4160363636,12.3025545455,11.0699454545,11.9727272727,11.3001727273,11.9251545455,11.2836363636
yabM,BSU00570,10.1812818182,9.9209818182,9.0702636364,9.1039727273,9.3040454546,8.2821,9.2689727273,11.1987818182,9.2988727273,9.4555272727,10.1975909091
yabN,BSU00580,12.3999727273,12.8563545455,12.7043272727,12.6816636364,12.3455909091,11.4996909091,12.0816090909,12.7491818182,11.8490090909,12.1404272727,12.5109727273
yabO,BSU00590,12.2134545455,12.6515,12.7010636364,12.6366454545,12.2265909091,11.6904818182,12.0931181818,12.8307,12.0084909091,12.3756181818,12.3383545455
yabP,BSU00600,11.9099181818,12.5340545455,12.4524545455,12.3967272727,11.8625272727,13.0556454545,11.8434363636,12.7994545455,11.9669727273,12.2586363636,12.2586363636
yabQ,BSU00610,12.3067363636,12.4135909091,12.3349636364,12.4572818182,12.1057363636,13.0066454545,11.7424545455,12.7639,11.8173636364,12.1999181818,12.3184272727
spoIIE,BSU00640,8.3798181818,8.3928818182,8.2090909091,9.7998727273,8.3843272727,12.0902181818,8.3551545455,9.5337454546,8.4624090909,8.4521090909,8.4547636364
yabS,BSU00650,9.5592909091,9.0985,9.5833181818,10.5251181818,9.1039727273,13.1027363636,9.0608181818,9.5544090909,9.8128363636,9.3639454546,9.4525636364
yabT,BSU00660,8.6452272727,8.5390181818,8.9042818182,9.4186181818,8.4030545455,11.6700909091,8.7700909091,9.2333818182,8.6955636364,8.5495363636,8.7821727273
tilS,BSU00670,12.4362363636,12.0252,12.0113545455,12.3161454545,11.8606909091,12.4135909091,12.0335909091,12.8950818182,12.3579090909,11.4618727273,12.4572818182
hprT,BSU00680,13.8348636364,13.7579090909,12.8914909091,13.6682363636,13.2563636364,13.7535,13.3876181818,14.4238727273,13.4054363636,12.8603636364,14.0952727273
coaX,BSU00700,11.5178,11.4636,10.4997727273,11.0584545455,10.8559272727,10.2482818182,11.3475454545,12.8082090909,11.1634636364,11.1327181818,11.5178
yacC,BSU00710,11.5137818182,11.3001727273,11.0908636364,10.9582727273,11.1698181818,10.0103727273,11.2836363636,12.6743272727,11.0213272727,11.6145545455,11.4185818182
yacD,BSU00720,11.5255272727,11.3570272727,10.9493181818,11.3475454545,11.0886,10.5901818182,11.2316818182,11.9801636364,11.1833272727,11.0654181818,11.4595181818
cysK,BSU00730,14.7907818182,14.0847454545,14.2825727273,13.9086,14.4857454545,13.4684636364,13.9617272727,13.0616545455,13.8557909091,12.3077727273,14.6899272727
pabB,BSU00740,11.5450727273,11.4663727273,11.3972454545,11.2850636364,11.5684090909,10.5981090909,11.4505090909,11.6700909091,11.0982545455,10.9591454545,11.7561181818
pabC,BSU00760,12.4676090909,12.3361909091,12.0427272727,12.3812545455,12.0409818182,11.3699454545,11.9413636364,12.8096909091,11.8714727273,11.7748363636,12.5815727273
sul,BSU00770,12.3739545455,12.3506545455,12.0963454545,12.2177272727,12.2177272727,11.1327181818,11.8587454545,12.784,11.7602,11.9430636364,12.5131909091
folB,BSU00780,12.2245,12.5109727273,12.7573636364,12.5011727273,12.3420727273,11.7509909091,12.2967909091,13.1499181818,11.9669727273,12.1379636364,12.5975636364
yazB,BSU00800,12.9754909091,12.8040272727,12.5439272727,12.6569909091,12.5755727273,11.8288636364,12.5699,13.7328909091,12.3000636364,12.2521090909,13.0593727273
yacF,BSU00810,13.3634727273,13.4797454545,13.0997272727,13.2345272727,13.1837727273,12.4324454545,13.1527,13.9479545455,13.0142818182,12.9660454545,13.4602454545
lysS,BSU00820,13.2869818182,13.4342090909,13.1668545455,13.2824818182,13.3443909091,12.3685,13.4746181818,14.0816454545,13.0631727273,13.4054363636,13.3817
ctsR,BSU00830,12.5051818182,12.6335454545,14.4726454545,12.6890272727,13.2185363636,12.7123272727,12.9045545455,14.1516818182,13.0423,13.3086818182,12.6245454545
